id,name,type,subtype,misc,coordSys
45,^(graph_polar)$,graph,,none,polar
46,^(chord_polar)$,graph,"c(""ribbon"",""scale"",""scaletext"",""rotatelab"",""hidelab"",""clock"",""clockwise"",""asc"",""desc"",""ascsub"",""descsub"")",circular,polar
47,^(force_polar|force_curve_polar)$,graph,"c(""arrow"",""triangle"")",force,polar
48,^(force_line_polar)$,graph,"c(""arrow"",""triangle"")",force,polar
49,^(graph_geo)$,graph,,none,geo
50,^(chord_geo)$,graph,"c(""ribbon"",""scale"",""scaletext"",""rotatelab"",""hidelab"",""clock"",""clockwise"",""asc"",""desc"",""ascsub"",""descsub"")",circular,geo
51,^(force_geo|force_curve_geo)$,graph,"c(""arrow"",""triangle"")",force,geo
52,^(force_line_geo)$,graph,"c(""arrow"",""triangle"")",force,geo
53,^(funnel)$,funnel,"c(""left"",""center"",""right"")",,
54,^(pyramid)$,funnel,"c(""left"",""center"",""right"")",ascending,
55,^(tree|vtree|tree_vertical)$,tree,"c(""curve"",""broken"",""dotted"",""solid"",""dashed"")",,
56,^(htree|tree_horizontal)$,tree,"c(""curve"",""broken"",""dotted"",""solid"",""dashed"")",horizontal,
57,^(tree_inv|vtree_inv|tree_vertical_inv)$,tree,"c(""curve"",""broken"",""dotted"",""solid"",""dashed"")",inv,
58,^(htree_inv|tree_horizontal_inv)$,tree,"c(""curve"",""broken"",""dotted"",""solid"",""dashed"")",horizontal_inv,
59,^(treemap)$,treemap,,,
60,^(wordcloud)$,wordCloud,,,
61,^(heatmap)$,heatmap,,,cartesian2d
62,^(heatmap_geo)$,heatmap,,,geo
63,^(radar|spider|star)$,radar,"""fill""",,
64,^(gauge|dashboard)$,gauge,,,
65,^(eventriver)$,eventRiver,,,
66,^(venn)$,venn,,,
67,^(parallel)$,paralell,,,parallel
68,^(sankey)$,sankey,,,
